#HIMS 5, Width 16 pulse, 440
t(ms), signal(%full range)
3247.014, 5.498
1082.338, 4.781
649.403, 4.435
463.859, 4.368
360.779, 4.460
295.183, 4.615
249.770, 4.777
216.468, 4.920
191.001, 5.037
170.895, 5.110
154.620, 5.166
141.175, 5.194
129.881, 5.198
120.260, 5.209
111.966, 5.201
104.742, 5.186
98.394, 5.428
92.772, 6.091
87.757, 6.397
83.257, 6.473
79.195, 6.406
75.512, 6.269
72.156, 6.111
69.085, 5.954
66.266, 5.834
63.667, 5.737
61.264, 5.672
59.037, 5.632
56.965, 5.619
55.034, 5.622
53.230, 5.619
51.540, 5.630
49.954, 5.642
48.463, 5.641
47.058, 5.647
45.733, 5.648
44.480, 5.660
43.294, 5.660
42.169, 5.659
41.101, 5.663
40.087, 5.659
39.121, 5.663
38.200, 5.669
37.322, 5.673
36.483, 5.677
35.681, 5.684
34.914, 5.696
34.179, 5.694
33.474, 5.693
32.798, 5.688
32.149, 5.695
31.524, 5.700
30.924, 5.706
30.346, 5.708
29.789, 5.714
29.252, 5.708
28.735, 5.708
28.235, 5.719
27.752, 5.715
27.286, 5.720
26.835, 5.718
26.398, 5.720
25.976, 5.727
25.567, 5.730
25.171, 5.723
24.786, 5.726
24.414, 5.719
24.052, 5.728
23.701, 5.728
23.360, 5.728
23.028, 5.734
22.706, 5.739
22.393, 5.731
22.089, 5.737
21.792, 5.740
21.503, 5.746
21.222, 5.743
20.948, 5.742
20.682, 5.742
20.421, 5.743
20.168, 5.749
19.920, 5.752
19.679, 5.749
19.443, 5.751
19.213, 5.743
18.988, 5.751
18.769, 5.755
18.554, 5.752
18.345, 5.759
18.140, 5.757
17.939, 5.752
17.743, 5.761
17.551, 5.757
17.364, 5.754
17.180, 5.750
17.000, 5.753
16.824, 5.755
16.651, 5.754
16.482, 5.765
16.317, 5.773
16.154, 5.770
15.995, 5.766
15.839, 5.776
15.686, 5.766
15.536, 5.777
15.389, 5.782
15.244, 5.783
15.102, 5.780
14.963, 5.769
14.827, 5.775
14.692, 5.778
14.561, 5.777
14.431, 5.764
14.304, 5.768
14.179, 5.767
14.056, 5.774
13.936, 5.772
13.817, 5.777
13.700, 5.773
13.586, 5.778
13.473, 5.773
13.362, 5.778
13.253, 5.785
13.146, 5.783
13.040, 5.774
12.936, 5.774
12.834, 5.774
12.733, 5.776
12.634, 5.775
12.537, 5.788
12.441, 5.781
12.346, 5.789
12.253, 5.783
12.161, 5.783
12.071, 5.779
11.982, 5.783
11.894, 5.776
11.807, 5.773
11.722, 5.779
11.638, 5.774
11.555, 5.772
11.474, 5.773
11.393, 5.770
11.314, 5.773
11.235, 5.773
11.158, 5.779
11.082, 5.785
11.007, 5.788
10.933, 5.793
10.860, 5.784
10.787, 5.780
10.716, 5.787
10.646, 5.783
10.577, 5.789
10.508, 5.789
10.441, 5.786
10.374, 5.785
10.308, 5.780
10.243, 5.778
10.179, 5.778
10.115, 5.776
10.053, 5.773
9.991, 5.777
9.930, 5.782
9.869, 5.783
9.810, 5.784
9.751, 5.780
9.693, 5.785
9.635, 5.785
9.578, 5.775
9.522, 5.776
9.467, 5.779
9.412, 5.775
9.357, 5.773
9.304, 5.770
9.251, 5.768
9.198, 5.769
9.147, 5.772
9.095, 5.766
9.045, 5.780
8.994, 5.777
8.945, 5.789
8.896, 5.790
8.847, 5.786
8.799, 5.790
8.752, 5.774
8.705, 5.781
8.659, 5.788
8.613, 5.778
8.567, 5.772
8.522, 5.768
8.478, 5.775
8.434, 5.765
8.390, 5.746
8.347, 5.750
8.304, 5.755
8.262, 5.761
8.220, 5.760
8.179, 5.754
8.138, 5.764
8.097, 5.761
8.057, 5.766
8.017, 5.771
7.978, 5.775
7.939, 5.778
7.900, 5.773
7.862, 5.770
7.824, 5.772
7.787, 5.765
7.749, 5.761
7.713, 5.766
7.676, 5.757
7.640, 5.758
7.604, 5.759
7.569, 5.767
7.534, 5.764
7.499, 5.760
7.464, 5.758
7.430, 5.763
7.396, 5.762
7.363, 5.762
7.330, 5.767
7.297, 5.765
7.264, 5.764
7.232, 5.763
7.200, 5.758
7.168, 5.759
7.136, 5.760
7.105, 5.757
7.074, 5.756
7.043, 5.759
7.013, 5.764
6.983, 5.761
6.953, 5.756
6.923, 5.754
6.894, 5.757
6.865, 5.756
6.836, 5.757
6.807, 5.754
6.779, 5.760
6.751, 5.762
6.723, 5.764
6.695, 5.758
6.667, 5.763
6.640, 5.759
6.613, 5.756
6.586, 5.752
6.560, 5.754
6.533, 5.757
6.507, 5.754
6.481, 5.758
6.455, 5.758
6.430, 5.750
6.404, 5.757
6.379, 5.762
6.354, 5.759
6.329, 5.767
6.305, 5.760
6.280, 5.763
6.256, 5.758
6.232, 5.750
6.208, 5.747
6.185, 5.749
6.161, 5.760
6.138, 5.753
6.115, 5.749
6.092, 5.752
6.069, 5.751
6.047, 5.749
6.024, 5.747
6.002, 5.753
5.980, 5.758
5.958, 5.752
5.936, 5.759
5.914, 5.754
5.893, 5.755
5.872, 5.753
5.850, 5.747
5.829, 5.753
5.809, 5.758
5.788, 5.754
5.767, 5.752
5.747, 5.753
5.727, 5.758
5.707, 5.757
5.687, 5.751
5.667, 5.754
5.647, 5.748
5.627, 5.748
5.608, 5.746
5.589, 5.751
5.569, 5.753
5.550, 5.750
5.532, 5.746
5.513, 5.749
5.494, 5.743
5.476, 5.749
5.457, 5.747
5.439, 5.754
5.421, 5.751
5.403, 5.750
5.385, 5.750
5.367, 5.756
5.349, 5.756
5.332, 5.749
5.314, 5.754
5.297, 5.749
5.280, 5.746
5.263, 5.747
5.246, 5.741
5.229, 5.746
5.212, 5.747
5.195, 5.737
5.179, 5.736
5.162, 5.745
5.146, 5.744
5.130, 5.747
5.113, 5.743
5.097, 5.748
5.081, 5.754
5.066, 5.752
5.050, 5.752
5.034, 5.750
5.019, 5.755
5.003, 5.751
4.988, 5.746
4.972, 5.747
4.957, 5.744
4.942, 5.741
4.927, 5.739
4.912, 5.739
4.897, 5.745
4.883, 5.741
4.868, 5.742
4.854, 5.747
4.839, 5.748
4.825, 5.748
4.810, 5.751
4.796, 5.754
4.782, 5.749
4.768, 5.751
4.754, 5.749
