#HIMS 5, Width 16 pulse, 715
t(ms), signal(%full range)
3247.014, 5.337
1082.338, 4.612
649.403, 4.264
463.859, 4.201
360.779, 4.300
295.183, 4.462
249.770, 4.618
216.468, 4.763
191.001, 4.875
170.895, 4.952
154.620, 4.998
141.175, 5.029
129.881, 5.041
120.260, 5.043
111.966, 5.037
104.742, 5.026
98.394, 5.264
92.772, 5.944
87.757, 6.253
83.257, 6.321
79.195, 6.252
75.512, 6.112
72.156, 5.945
69.085, 5.789
66.266, 5.669
63.667, 5.574
61.264, 5.517
59.037, 5.478
56.965, 5.457
55.034, 5.451
53.230, 5.453
51.540, 5.461
49.954, 5.468
48.463, 5.476
47.058, 5.483
45.733, 5.499
44.480, 5.501
43.294, 5.504
42.169, 5.514
41.101, 5.517
40.087, 5.518
39.121, 5.515
38.200, 5.513
37.322, 5.522
36.483, 5.521
35.681, 5.526
34.914, 5.526
34.179, 5.529
33.474, 5.534
32.798, 5.531
32.149, 5.538
31.524, 5.541
30.924, 5.543
30.346, 5.542
29.789, 5.546
29.252, 5.551
28.735, 5.555
28.235, 5.559
27.752, 5.563
27.286, 5.557
26.835, 5.555
26.398, 5.558
25.976, 5.555
25.567, 5.554
25.171, 5.564
24.786, 5.568
24.414, 5.575
24.052, 5.569
23.701, 5.570
23.360, 5.571
23.028, 5.574
22.706, 5.580
22.393, 5.585
22.089, 5.590
21.792, 5.591
21.503, 5.595
21.222, 5.596
20.948, 5.598
20.682, 5.593
20.421, 5.589
20.168, 5.586
19.920, 5.586
19.679, 5.588
19.443, 5.590
19.213, 5.597
18.988, 5.600
18.769, 5.601
18.554, 5.606
18.345, 5.607
18.140, 5.608
17.939, 5.614
17.743, 5.614
17.551, 5.607
17.364, 5.611
17.180, 5.608
17.000, 5.609
16.824, 5.607
16.651, 5.607
16.482, 5.603
16.317, 5.601
16.154, 5.600
15.995, 5.609
15.839, 5.603
15.686, 5.615
15.536, 5.617
15.389, 5.622
15.244, 5.624
15.102, 5.625
14.963, 5.627
14.827, 5.628
14.692, 5.622
14.561, 5.618
14.431, 5.619
14.304, 5.618
14.179, 5.616
14.056, 5.619
13.936, 5.619
13.817, 5.617
13.700, 5.621
13.586, 5.621
13.473, 5.621
13.362, 5.622
13.253, 5.625
13.146, 5.622
13.040, 5.622
12.936, 5.623
12.834, 5.623
12.733, 5.622
12.634, 5.618
12.537, 5.629
12.441, 5.630
12.346, 5.631
12.253, 5.631
12.161, 5.632
12.071, 5.624
11.982, 5.626
11.894, 5.629
11.807, 5.625
11.722, 5.630
11.638, 5.627
11.555, 5.628
11.474, 5.623
11.393, 5.616
11.314, 5.615
11.235, 5.619
11.158, 5.618
11.082, 5.624
11.007, 5.624
10.933, 5.622
10.860, 5.632
10.787, 5.634
10.716, 5.628
10.646, 5.632
10.577, 5.637
10.508, 5.627
10.441, 5.631
10.374, 5.628
10.308, 5.624
10.243, 5.619
10.179, 5.622
10.115, 5.616
10.053, 5.616
9.991, 5.618
9.930, 5.625
9.869, 5.625
9.810, 5.629
9.751, 5.627
9.693, 5.637
9.635, 5.634
9.578, 5.633
9.522, 5.635
9.467, 5.642
9.412, 5.630
9.357, 5.625
9.304, 5.626
9.251, 5.626
9.198, 5.618
9.147, 5.615
9.095, 5.617
9.045, 5.618
8.994, 5.614
8.945, 5.620
8.896, 5.622
8.847, 5.621
8.799, 5.615
8.752, 5.620
8.705, 5.630
8.659, 5.627
8.613, 5.625
8.567, 5.623
8.522, 5.621
8.478, 5.624
8.434, 5.614
8.390, 5.613
8.347, 5.615
8.304, 5.613
8.262, 5.617
8.220, 5.622
8.179, 5.619
8.138, 5.618
8.097, 5.620
8.057, 5.615
8.017, 5.611
7.978, 5.616
7.939, 5.616
7.900, 5.615
7.862, 5.616
7.824, 5.619
7.787, 5.609
7.749, 5.608
7.713, 5.609
7.676, 5.609
7.640, 5.608
7.604, 5.610
7.569, 5.610
7.534, 5.606
7.499, 5.613
7.464, 5.612
7.430, 5.604
7.396, 5.606
7.363, 5.612
7.330, 5.612
7.297, 5.612
7.264, 5.614
7.232, 5.610
7.200, 5.610
7.168, 5.614
7.136, 5.607
7.105, 5.605
7.074, 5.606
7.043, 5.604
7.013, 5.608
6.983, 5.605
6.953, 5.610
6.923, 5.605
6.894, 5.610
6.865, 5.611
6.836, 5.606
6.807, 5.598
6.779, 5.599
6.751, 5.596
6.723, 5.599
6.695, 5.597
6.667, 5.594
6.640, 5.605
6.613, 5.606
6.586, 5.604
6.560, 5.606
6.533, 5.604
6.507, 5.605
6.481, 5.602
6.455, 5.602
6.430, 5.598
6.404, 5.595
6.379, 5.588
6.354, 5.589
6.329, 5.589
