#HIMS 5, Width 16 pulse, 196
t(ms), signal(%full range)
3247.014, 5.305
1082.338, 4.593
649.403, 4.235
463.859, 4.180
360.779, 4.283
295.183, 4.435
249.770, 4.599
216.468, 4.746
191.001, 4.854
170.895, 4.921
154.620, 4.959
141.175, 4.982
129.881, 4.999
120.260, 4.985
111.966, 4.995
104.742, 4.996
98.394, 5.229
92.772, 5.921
87.757, 6.218
83.257, 6.295
79.195, 6.236
75.512, 6.085
72.156, 5.928
69.085, 5.775
66.266, 5.648
63.667, 5.550
61.264, 5.486
59.037, 5.451
56.965, 5.438
55.034, 5.428
53.230, 5.423
51.540, 5.436
49.954, 5.444
48.463, 5.446
47.058, 5.452
45.733, 5.465
44.480, 5.476
43.294, 5.480
42.169, 5.485
41.101, 5.473
40.087, 5.494
39.121, 5.487
38.200, 5.485
37.322, 5.488
36.483, 5.492
35.681, 5.490
34.914, 5.494
34.179, 5.498
33.474, 5.500
32.798, 5.500
32.149, 5.513
31.524, 5.513
30.924, 5.508
30.346, 5.513
29.789, 5.514
29.252, 5.525
28.735, 5.531
28.235, 5.527
27.752, 5.526
27.286, 5.537
26.835, 5.530
26.398, 5.521
25.976, 5.524
25.567, 5.521
25.171, 5.540
24.786, 5.539
24.414, 5.539
24.052, 5.537
23.701, 5.532
23.360, 5.532
23.028, 5.537
22.706, 5.537
22.393, 5.543
22.089, 5.563
21.792, 5.562
21.503, 5.556
21.222, 5.559
20.948, 5.576
20.682, 5.564
20.421, 5.566
20.168, 5.561
19.920, 5.553
19.679, 5.542
19.443, 5.552
19.213, 5.559
18.988, 5.557
18.769, 5.555
18.554, 5.565
18.345, 5.556
18.140, 5.549
17.939, 5.549
17.743, 5.570
17.551, 5.573
17.364, 5.573
17.180, 5.568
17.000, 5.578
16.824, 5.575
16.651, 5.574
16.482, 5.580
16.317, 5.578
16.154, 5.575
15.995, 5.563
15.839, 5.569
15.686, 5.581
15.536, 5.584
15.389, 5.583
15.244, 5.585
15.102, 5.578
14.963, 5.577
14.827, 5.567
14.692, 5.563
14.561, 5.568
14.431, 5.579
14.304, 5.574
14.179, 5.584
14.056, 5.579
13.936, 5.575
13.817, 5.577
13.700, 5.575
13.586, 5.582
13.473, 5.581
13.362, 5.594
13.253, 5.585
13.146, 5.589
13.040, 5.585
12.936, 5.575
12.834, 5.583
12.733, 5.592
12.634, 5.598
12.537, 5.593
12.441, 5.581
12.346, 5.594
12.253, 5.588
12.161, 5.588
12.071, 5.578
11.982, 5.578
11.894, 5.584
11.807, 5.572
11.722, 5.579
11.638, 5.584
11.555, 5.583
11.474, 5.584
11.393, 5.590
11.314, 5.583
11.235, 5.585
11.158, 5.585
11.082, 5.584
11.007, 5.576
10.933, 5.575
10.860, 5.586
10.787, 5.581
10.716, 5.584
10.646, 5.584
10.577, 5.583
10.508, 5.577
10.441, 5.579
10.374, 5.585
10.308, 5.587
10.243, 5.584
10.179, 5.590
10.115, 5.572
10.053, 5.566
9.991, 5.567
9.930, 5.575
9.869, 5.577
9.810, 5.563
9.751, 5.570
9.693, 5.572
9.635, 5.570
9.578, 5.567
9.522, 5.571
9.467, 5.588
9.412, 5.599
9.357, 5.602
9.304, 5.590
9.251, 5.586
9.198, 5.577
9.147, 5.580
9.095, 5.569
9.045, 5.570
8.994, 5.569
8.945, 5.574
8.896, 5.572
8.847, 5.578
8.799, 5.576
8.752, 5.576
8.705, 5.570
8.659, 5.576
8.613, 5.567
8.567, 5.579
8.522, 5.578
8.478, 5.572
8.434, 5.566
8.390, 5.560
8.347, 5.556
8.304, 5.568
8.262, 5.574
8.220, 5.570
8.179, 5.568
8.138, 5.580
8.097, 5.567
8.057, 5.574
8.017, 5.591
7.978, 5.586
7.939, 5.574
7.900, 5.568
7.862, 5.567
7.824, 5.567
7.787, 5.561
7.749, 5.562
7.713, 5.555
7.676, 5.558
7.640, 5.555
7.604, 5.551
7.569, 5.568
7.534, 5.568
7.499, 5.566
7.464, 5.570
7.430, 5.576
7.396, 5.575
7.363, 5.571
7.330, 5.564
7.297, 5.563
7.264, 5.564
7.232, 5.567
7.200, 5.566
7.168, 5.573
7.136, 5.583
7.105, 5.570
7.074, 5.568
7.043, 5.561
7.013, 5.572
6.983, 5.561
6.953, 5.569
6.923, 5.568
6.894, 5.568
6.865, 5.574
6.836, 5.577
6.807, 5.563
6.779, 5.562
6.751, 5.560
6.723, 5.549
6.695, 5.557
6.667, 5.560
6.640, 5.555
6.613, 5.560
6.586, 5.559
6.560, 5.561
6.533, 5.564
6.507, 5.563
6.481, 5.563
6.455, 5.571
6.430, 5.556
6.404, 5.557
6.379, 5.567
6.354, 5.557
6.329, 5.548
6.305, 5.542
6.280, 5.545
6.256, 5.559
6.232, 5.568
6.208, 5.548
6.185, 5.567
6.161, 5.558
6.138, 5.559
6.115, 5.561
6.092, 5.564
6.069, 5.569
6.047, 5.558
6.024, 5.562
6.002, 5.563
5.980, 5.573
5.958, 5.566
5.936, 5.556
5.914, 5.567
5.893, 5.554
5.872, 5.555
5.850, 5.552
5.829, 5.558
5.809, 5.557
5.788, 5.551
5.767, 5.554
5.747, 5.560
5.727, 5.566
5.707, 5.554
5.687, 5.542
5.667, 5.532
5.647, 5.535
5.627, 5.533
5.608, 5.552
5.589, 5.552
5.569, 5.550
5.550, 5.563
5.532, 5.556
