#HIMS 5, Width 16 pulse, 391
t(ms), signal(%full range)
3247.014, 5.453
1082.338, 4.733
649.403, 4.387
463.859, 4.304
360.779, 4.403
295.183, 4.560
249.770, 4.730
216.468, 4.868
191.001, 4.981
170.895, 5.063
154.620, 5.119
141.175, 5.150
129.881, 5.162
120.260, 5.161
111.966, 5.147
104.742, 5.130
98.394, 5.372
92.772, 6.054
87.757, 6.355
83.257, 6.419
79.195, 6.361
75.512, 6.218
72.156, 6.063
69.085, 5.908
66.266, 5.787
63.667, 5.696
61.264, 5.632
59.037, 5.593
56.965, 5.583
55.034, 5.575
53.230, 5.574
51.540, 5.570
49.954, 5.575
48.463, 5.584
47.058, 5.594
45.733, 5.593
44.480, 5.607
43.294, 5.613
42.169, 5.616
41.101, 5.614
40.087, 5.621
39.121, 5.627
38.200, 5.629
37.322, 5.634
36.483, 5.634
35.681, 5.638
34.914, 5.640
34.179, 5.640
33.474, 5.641
32.798, 5.654
32.149, 5.652
31.524, 5.653
30.924, 5.647
30.346, 5.644
29.789, 5.644
29.252, 5.653
28.735, 5.655
28.235, 5.654
27.752, 5.661
27.286, 5.660
26.835, 5.670
26.398, 5.667
25.976, 5.680
25.567, 5.682
25.171, 5.676
24.786, 5.675
24.414, 5.675
24.052, 5.675
23.701, 5.670
23.360, 5.675
23.028, 5.674
22.706, 5.672
22.393, 5.678
22.089, 5.682
21.792, 5.687
21.503, 5.700
21.222, 5.692
20.948, 5.699
20.682, 5.697
20.421, 5.700
20.168, 5.707
19.920, 5.707
19.679, 5.696
19.443, 5.699
19.213, 5.693
18.988, 5.697
18.769, 5.695
18.554, 5.695
18.345, 5.690
18.140, 5.706
17.939, 5.700
17.743, 5.704
17.551, 5.710
17.364, 5.701
17.180, 5.710
17.000, 5.716
16.824, 5.711
16.651, 5.713
16.482, 5.711
16.317, 5.708
16.154, 5.711
15.995, 5.713
15.839, 5.715
15.686, 5.716
15.536, 5.717
15.389, 5.716
15.244, 5.723
15.102, 5.728
14.963, 5.722
14.827, 5.727
14.692, 5.717
14.561, 5.721
14.431, 5.726
14.304, 5.722
14.179, 5.725
14.056, 5.716
13.936, 5.719
13.817, 5.725
13.700, 5.726
13.586, 5.716
13.473, 5.713
13.362, 5.714
13.253, 5.724
13.146, 5.731
13.040, 5.726
12.936, 5.738
12.834, 5.737
12.733, 5.734
12.634, 5.732
12.537, 5.734
12.441, 5.736
12.346, 5.739
12.253, 5.732
12.161, 5.733
12.071, 5.731
11.982, 5.724
11.894, 5.727
11.807, 5.723
11.722, 5.724
11.638, 5.729
11.555, 5.722
11.474, 5.733
11.393, 5.731
11.314, 5.735
11.235, 5.734
11.158, 5.738
11.082, 5.742
11.007, 5.739
10.933, 5.738
10.860, 5.734
10.787, 5.733
10.716, 5.734
10.646, 5.726
10.577, 5.724
10.508, 5.722
10.441, 5.729
10.374, 5.723
10.308, 5.734
10.243, 5.726
10.179, 5.735
10.115, 5.736
10.053, 5.732
9.991, 5.733
9.930, 5.731
9.869, 5.724
9.810, 5.712
9.751, 5.717
9.693, 5.725
9.635, 5.724
9.578, 5.724
9.522, 5.734
9.467, 5.728
9.412, 5.720
9.357, 5.717
9.304, 5.727
9.251, 5.731
9.198, 5.733
9.147, 5.734
9.095, 5.726
9.045, 5.725
8.994, 5.724
8.945, 5.722
8.896, 5.718
8.847, 5.712
8.799, 5.715
8.752, 5.717
8.705, 5.723
8.659, 5.727
8.613, 5.729
8.567, 5.734
8.522, 5.729
8.478, 5.725
8.434, 5.724
8.390, 5.725
8.347, 5.727
8.304, 5.736
8.262, 5.724
8.220, 5.712
8.179, 5.711
8.138, 5.708
8.097, 5.712
8.057, 5.721
8.017, 5.715
7.978, 5.728
7.939, 5.723
7.900, 5.719
7.862, 5.725
7.824, 5.735
7.787, 5.724
7.749, 5.714
7.713, 5.705
7.676, 5.708
7.640, 5.704
7.604, 5.709
7.569, 5.711
7.534, 5.708
7.499, 5.708
7.464, 5.713
7.430, 5.717
7.396, 5.723
7.363, 5.727
7.330, 5.721
7.297, 5.713
7.264, 5.721
7.232, 5.714
7.200, 5.725
7.168, 5.718
7.136, 5.717
7.105, 5.707
7.074, 5.710
7.043, 5.698
7.013, 5.706
6.983, 5.701
6.953, 5.699
6.923, 5.702
6.894, 5.709
6.865, 5.708
6.836, 5.713
6.807, 5.698
6.779, 5.707
6.751, 5.709
6.723, 5.707
6.695, 5.705
6.667, 5.707
6.640, 5.703
6.613, 5.706
6.586, 5.707
6.560, 5.698
6.533, 5.703
6.507, 5.695
6.481, 5.702
6.455, 5.702
6.430, 5.700
6.404, 5.701
6.379, 5.708
6.354, 5.711
6.329, 5.710
6.305, 5.710
6.280, 5.707
6.256, 5.702
6.232, 5.703
6.208, 5.697
6.185, 5.698
6.161, 5.706
6.138, 5.703
6.115, 5.706
6.092, 5.704
6.069, 5.712
6.047, 5.706
6.024, 5.701
6.002, 5.691
5.980, 5.711
5.958, 5.707
5.936, 5.706
5.914, 5.701
5.893, 5.693
5.872, 5.694
5.850, 5.686
5.829, 5.685
5.809, 5.693
5.788, 5.701
5.767, 5.701
5.747, 5.696
5.727, 5.704
5.707, 5.704
5.687, 5.705
5.667, 5.704
5.647, 5.701
5.627, 5.703
5.608, 5.700
5.589, 5.697
5.569, 5.702
5.550, 5.690
5.532, 5.693
5.513, 5.691
5.494, 5.691
5.476, 5.697
5.457, 5.699
5.439, 5.696
5.421, 5.703
5.403, 5.695
5.385, 5.697
5.367, 5.701
5.349, 5.703
5.332, 5.702
5.314, 5.697
5.297, 5.692
5.280, 5.699
5.263, 5.690
5.246, 5.702
5.229, 5.708
5.212, 5.700
5.195, 5.695
5.179, 5.698
5.162, 5.688
5.146, 5.695
5.130, 5.694
5.113, 5.700
5.097, 5.699
5.081, 5.707
5.066, 5.711
5.050, 5.702
5.034, 5.704
5.019, 5.691
5.003, 5.698
4.988, 5.686
4.972, 5.689
4.957, 5.689
4.942, 5.686
4.927, 5.680
4.912, 5.688
4.897, 5.693
4.883, 5.688
4.868, 5.691
4.854, 5.696
4.839, 5.700
4.825, 5.706
4.810, 5.700
4.796, 5.694
4.782, 5.695
4.768, 5.701
4.754, 5.692
4.740, 5.692
4.726, 5.687
4.713, 5.682
4.699, 5.689
4.685, 5.692
4.672, 5.697
4.659, 5.699
4.645, 5.689
4.632, 5.687
4.619, 5.695
4.606, 5.688
4.593, 5.695
4.580, 5.693
4.567, 5.698
4.554, 5.693
4.541, 5.688
4.529, 5.680
4.516, 5.679
4.503, 5.683
4.491, 5.691
4.479, 5.690
4.466, 5.692
4.454, 5.697
4.442, 5.693
4.430, 5.691
4.418, 5.683
4.406, 5.689
4.394, 5.685
4.382, 5.694
4.370, 5.690
4.358, 5.681
4.347, 5.682
4.335, 5.671
4.324, 5.676
4.312, 5.674
4.301, 5.671
4.289, 5.683
4.278, 5.692
4.267, 5.691
4.256, 5.689
4.244, 5.686
4.233, 5.690
4.222, 5.688
4.211, 5.697
4.201, 5.694
4.190, 5.685
4.179, 5.686
4.168, 5.680
4.158, 5.680
4.147, 5.682
4.136, 5.678
4.126, 5.673
4.115, 5.679
4.105, 5.680
4.095, 5.669
4.084, 5.684
4.074, 5.678
4.064, 5.691
4.054, 5.690
4.044, 5.688
4.034, 5.683
4.024, 5.680
4.014, 5.674
4.004, 5.676
3.994, 5.674
3.984, 5.685
3.974, 5.682
3.965, 5.690
3.955, 5.680
3.945, 5.682
3.936, 5.681
3.926, 5.689
3.917, 5.694
3.907, 5.698
3.898, 5.696
3.889, 5.691
3.879, 5.688
3.870, 5.689
3.861, 5.674
3.852, 5.677
3.843, 5.679
3.834, 5.674
3.825, 5.675
3.816, 5.672
3.807, 5.676
3.798, 5.671
3.789, 5.671
3.780, 5.682
3.771, 5.674
3.762, 5.684
