#HIMS 5, Width 16 pulse, 244
t(ms), signal(%full range)
3247.014, 5.391
1082.338, 4.659
649.403, 4.321
463.859, 4.261
360.779, 4.347
295.183, 4.501
249.770, 4.669
216.468, 4.812
191.001, 4.917
170.895, 4.990
154.620, 5.021
141.175, 5.051
129.881, 5.070
120.260, 5.064
111.966, 5.064
104.742, 5.063
98.394, 5.286
92.772, 5.982
87.757, 6.289
83.257, 6.360
79.195, 6.288
75.512, 6.151
72.156, 5.993
69.085, 5.835
66.266, 5.713
63.667, 5.620
61.264, 5.559
59.037, 5.519
56.965, 5.510
55.034, 5.501
53.230, 5.496
51.540, 5.513
49.954, 5.512
48.463, 5.505
47.058, 5.517
45.733, 5.514
44.480, 5.534
43.294, 5.545
42.169, 5.540
41.101, 5.549
40.087, 5.549
39.121, 5.549
38.200, 5.558
37.322, 5.562
36.483, 5.561
35.681, 5.562
34.914, 5.565
34.179, 5.562
33.474, 5.567
32.798, 5.568
32.149, 5.586
31.524, 5.586
30.924, 5.578
30.346, 5.583
29.789, 5.578
29.252, 5.585
28.735, 5.582
28.235, 5.598
27.752, 5.593
27.286, 5.602
26.835, 5.596
26.398, 5.590
25.976, 5.591
25.567, 5.595
25.171, 5.610
24.786, 5.605
24.414, 5.614
24.052, 5.615
23.701, 5.617
23.360, 5.612
23.028, 5.617
22.706, 5.614
22.393, 5.613
22.089, 5.618
21.792, 5.612
21.503, 5.617
21.222, 5.626
20.948, 5.624
20.682, 5.630
20.421, 5.635
20.168, 5.630
19.920, 5.639
19.679, 5.642
19.443, 5.648
19.213, 5.641
18.988, 5.642
18.769, 5.631
18.554, 5.631
18.345, 5.634
18.140, 5.624
17.939, 5.624
17.743, 5.638
17.551, 5.639
17.364, 5.639
17.180, 5.649
17.000, 5.643
16.824, 5.647
16.651, 5.658
16.482, 5.649
16.317, 5.646
16.154, 5.649
15.995, 5.651
15.839, 5.644
15.686, 5.652
15.536, 5.657
15.389, 5.649
15.244, 5.642
15.102, 5.641
14.963, 5.636
14.827, 5.642
14.692, 5.649
14.561, 5.647
14.431, 5.661
14.304, 5.661
14.179, 5.665
14.056, 5.656
13.936, 5.643
13.817, 5.654
13.700, 5.654
13.586, 5.636
13.473, 5.647
13.362, 5.653
13.253, 5.650
13.146, 5.652
13.040, 5.659
12.936, 5.656
12.834, 5.651
12.733, 5.659
12.634, 5.660
12.537, 5.664
12.441, 5.652
12.346, 5.645
12.253, 5.650
12.161, 5.644
12.071, 5.654
11.982, 5.648
11.894, 5.653
11.807, 5.639
11.722, 5.638
11.638, 5.651
11.555, 5.652
11.474, 5.657
11.393, 5.660
11.314, 5.668
11.235, 5.668
11.158, 5.666
11.082, 5.668
11.007, 5.671
10.933, 5.659
10.860, 5.661
10.787, 5.660
10.716, 5.656
10.646, 5.654
10.577, 5.640
10.508, 5.642
10.441, 5.648
10.374, 5.655
10.308, 5.657
10.243, 5.662
10.179, 5.661
10.115, 5.659
10.053, 5.665
9.991, 5.657
9.930, 5.662
9.869, 5.642
9.810, 5.644
9.751, 5.640
9.693, 5.640
9.635, 5.648
9.578, 5.658
9.522, 5.658
9.467, 5.658
9.412, 5.658
9.357, 5.667
9.304, 5.661
9.251, 5.663
9.198, 5.652
9.147, 5.648
9.095, 5.640
9.045, 5.638
8.994, 5.640
8.945, 5.650
8.896, 5.653
8.847, 5.651
8.799, 5.660
8.752, 5.650
8.705, 5.653
8.659, 5.647
8.613, 5.649
8.567, 5.643
8.522, 5.646
8.478, 5.642
8.434, 5.642
8.390, 5.636
8.347, 5.636
8.304, 5.639
8.262, 5.639
8.220, 5.639
8.179, 5.643
8.138, 5.642
8.097, 5.640
8.057, 5.652
8.017, 5.639
7.978, 5.647
7.939, 5.631
7.900, 5.641
7.862, 5.641
7.824, 5.635
7.787, 5.642
7.749, 5.643
7.713, 5.654
7.676, 5.645
7.640, 5.654
7.604, 5.656
7.569, 5.648
7.534, 5.640
7.499, 5.641
7.464, 5.634
7.430, 5.643
7.396, 5.630
7.363, 5.636
7.330, 5.637
7.297, 5.638
7.264, 5.638
7.232, 5.635
7.200, 5.630
7.168, 5.642
7.136, 5.635
7.105, 5.640
7.074, 5.635
7.043, 5.637
7.013, 5.642
6.983, 5.639
6.953, 5.633
6.923, 5.624
6.894, 5.631
6.865, 5.632
6.836, 5.630
6.807, 5.634
6.779, 5.645
6.751, 5.638
6.723, 5.638
6.695, 5.646
6.667, 5.643
6.640, 5.640
6.613, 5.642
6.586, 5.637
6.560, 5.631
6.533, 5.631
6.507, 5.631
6.481, 5.630
6.455, 5.619
6.430, 5.620
6.404, 5.615
6.379, 5.615
6.354, 5.618
6.329, 5.617
6.305, 5.618
6.280, 5.630
6.256, 5.628
6.232, 5.629
6.208, 5.630
6.185, 5.638
6.161, 5.633
6.138, 5.632
6.115, 5.618
6.092, 5.618
6.069, 5.630
6.047, 5.624
6.024, 5.622
6.002, 5.626
5.980, 5.627
5.958, 5.621
5.936, 5.628
5.914, 5.629
5.893, 5.636
5.872, 5.623
5.850, 5.623
5.829, 5.623
5.809, 5.632
5.788, 5.621
5.767, 5.618
5.747, 5.629
5.727, 5.625
5.707, 5.616
5.687, 5.627
5.667, 5.630
5.647, 5.635
5.627, 5.623
5.608, 5.630
5.589, 5.635
5.569, 5.636
5.550, 5.629
5.532, 5.628
5.513, 5.632
5.494, 5.625
5.476, 5.620
5.457, 5.614
5.439, 5.615
5.421, 5.613
5.403, 5.616
5.385, 5.614
5.367, 5.614
5.349, 5.627
5.332, 5.623
5.314, 5.618
5.297, 5.622
5.280, 5.624
5.263, 5.632
5.246, 5.629
5.229, 5.628
5.212, 5.630
5.195, 5.628
5.179, 5.621
5.162, 5.623
5.146, 5.624
5.130, 5.620
5.113, 5.626
5.097, 5.614
5.081, 5.616
5.066, 5.613
5.050, 5.622
5.034, 5.623
5.019, 5.615
5.003, 5.622
4.988, 5.616
4.972, 5.614
4.957, 5.624
4.942, 5.622
4.927, 5.619
4.912, 5.626
4.897, 5.619
4.883, 5.623
4.868, 5.615
4.854, 5.627
4.839, 5.617
4.825, 5.619
4.810, 5.621
4.796, 5.627
4.782, 5.620
4.768, 5.619
4.754, 5.621
4.740, 5.627
4.726, 5.626
4.713, 5.622
4.699, 5.608
4.685, 5.605
4.672, 5.610
4.659, 5.615
4.645, 5.607
4.632, 5.615
4.619, 5.611
4.606, 5.603
4.593, 5.613
4.580, 5.621
4.567, 5.623
4.554, 5.618
4.541, 5.613
4.529, 5.614
4.516, 5.616
4.503, 5.617
4.491, 5.623
4.479, 5.625
4.466, 5.623
4.454, 5.611
4.442, 5.609
4.430, 5.616
4.418, 5.602
4.406, 5.602
4.394, 5.598
4.382, 5.607
4.370, 5.610
4.358, 5.603
4.347, 5.608
4.335, 5.609
4.324, 5.619
4.312, 5.620
4.301, 5.622
4.289, 5.614
4.278, 5.609
4.267, 5.599
4.256, 5.602
4.244, 5.602
4.233, 5.598
4.222, 5.608
4.211, 5.608
4.201, 5.608
4.190, 5.612
4.179, 5.610
4.168, 5.608
4.158, 5.613
4.147, 5.620
4.136, 5.620
4.126, 5.608
4.115, 5.608
4.105, 5.599
4.095, 5.589
4.084, 5.597
4.074, 5.598
4.064, 5.612
4.054, 5.600
4.044, 5.603
4.034, 5.615
4.024, 5.611
4.014, 5.606
4.004, 5.617
3.994, 5.614
3.984, 5.614
3.974, 5.628
3.965, 5.621
3.955, 5.617
3.945, 5.619
3.936, 5.613
3.926, 5.612
3.917, 5.618
3.907, 5.614
3.898, 5.614
3.889, 5.604
3.879, 5.616
3.870, 5.617
3.861, 5.608
3.852, 5.603
3.843, 5.596
3.834, 5.594
3.825, 5.598
3.816, 5.604
3.807, 5.607
3.798, 5.610
3.789, 5.600
3.780, 5.600
3.771, 5.606
3.762, 5.605
3.754, 5.607
3.745, 5.609
3.736, 5.610
3.728, 5.616
3.719, 5.622
3.711, 5.617
3.702, 5.617
3.694, 5.618
3.686, 5.608
3.677, 5.597
3.669, 5.599
3.661, 5.606
3.652, 5.596
3.644, 5.600
3.636, 5.614
3.628, 5.616
3.620, 5.602
3.612, 5.606
3.604, 5.613
3.596, 5.614
3.588, 5.617
3.580, 5.617
3.572, 5.617
3.564, 5.608
3.556, 5.611
3.549, 5.610
3.541, 5.606
3.533, 5.613
3.526, 5.615
3.518, 5.613
3.510, 5.622
3.503, 5.615
3.495, 5.614
3.488, 5.611
3.480, 5.611
3.473, 5.627
3.465, 5.626
3.458, 5.613
3.451, 5.617
3.443, 5.592
3.436, 5.611
3.429, 5.616
3.422, 5.624
3.414, 5.624
3.407, 5.624
3.400, 5.620
3.393, 5.618
3.386, 5.613
3.379, 5.604
3.372, 5.602
3.365, 5.606
3.358, 5.603
3.351, 5.612
3.344, 5.614
3.337, 5.619
3.330, 5.623
3.323, 5.618
3.317, 5.606
3.310, 5.611
3.303, 5.618
3.296, 5.619
3.290, 5.618
3.283, 5.613
3.277, 5.620
3.270, 5.618
3.263, 5.633
3.257, 5.621
