#HIMS 5, Width 16 pulse, 146
t(ms), signal(%full range)
3247.014, 5.392
1082.338, 4.672
649.403, 4.323
463.859, 4.237
360.779, 4.323
295.183, 4.474
249.770, 4.647
216.468, 4.787
191.001, 4.887
170.895, 4.979
154.620, 5.022
141.175, 5.052
129.881, 5.067
120.260, 5.080
111.966, 5.067
104.742, 5.067
98.394, 5.307
92.772, 5.995
87.757, 6.297
83.257, 6.363
79.195, 6.276
75.512, 6.130
72.156, 5.961
69.085, 5.816
66.266, 5.686
63.667, 5.600
61.264, 5.531
59.037, 5.485
56.965, 5.485
55.034, 5.483
53.230, 5.481
51.540, 5.489
49.954, 5.507
48.463, 5.515
47.058, 5.525
45.733, 5.538
44.480, 5.539
43.294, 5.544
42.169, 5.540
41.101, 5.548
40.087, 5.543
39.121, 5.537
38.200, 5.533
37.322, 5.532
36.483, 5.537
35.681, 5.541
34.914, 5.538
34.179, 5.559
33.474, 5.558
32.798, 5.544
32.149, 5.564
31.524, 5.548
30.924, 5.550
30.346, 5.550
29.789, 5.559
29.252, 5.565
28.735, 5.573
28.235, 5.581
27.752, 5.584
27.286, 5.588
26.835, 5.599
26.398, 5.599
25.976, 5.604
25.567, 5.610
25.171, 5.598
24.786, 5.600
24.414, 5.599
24.052, 5.599
23.701, 5.607
23.360, 5.588
23.028, 5.595
22.706, 5.593
22.393, 5.588
22.089, 5.599
21.792, 5.595
21.503, 5.610
21.222, 5.611
20.948, 5.591
20.682, 5.596
20.421, 5.617
20.168, 5.617
19.920, 5.627
19.679, 5.619
19.443, 5.612
19.213, 5.618
18.988, 5.621
18.769, 5.606
18.554, 5.602
18.345, 5.615
18.140, 5.624
17.939, 5.609
17.743, 5.628
17.551, 5.629
17.364, 5.650
17.180, 5.648
17.000, 5.650
16.824, 5.641
16.651, 5.640
16.482, 5.641
16.317, 5.638
16.154, 5.637
15.995, 5.632
15.839, 5.621
15.686, 5.625
15.536, 5.619
15.389, 5.613
15.244, 5.626
15.102, 5.624
14.963, 5.631
14.827, 5.642
14.692, 5.649
14.561, 5.653
14.431, 5.656
14.304, 5.662
14.179, 5.670
14.056, 5.669
13.936, 5.660
13.817, 5.664
13.700, 5.662
13.586, 5.655
13.473, 5.647
13.362, 5.641
13.253, 5.642
13.146, 5.640
13.040, 5.632
12.936, 5.627
12.834, 5.640
12.733, 5.639
12.634, 5.650
12.537, 5.662
12.441, 5.664
12.346, 5.670
12.253, 5.669
12.161, 5.668
12.071, 5.671
11.982, 5.667
11.894, 5.667
11.807, 5.656
11.722, 5.648
11.638, 5.643
