#HIMS 5, Width 16 pulse, 48
t(ms), signal(%full range)
3247.014, 5.292
1082.338, 4.552
649.403, 4.235
463.859, 4.151
360.779, 4.252
295.183, 4.405
249.770, 4.553
216.468, 4.712
191.001, 4.826
170.895, 4.888
154.620, 4.946
141.175, 4.987
129.881, 4.973
120.260, 4.980
111.966, 4.979
104.742, 4.969
98.394, 5.202
92.772, 5.892
87.757, 6.208
83.257, 6.254
79.195, 6.208
75.512, 6.061
72.156, 5.877
69.085, 5.730
66.266, 5.613
63.667, 5.495
61.264, 5.437
59.037, 5.396
56.965, 5.373
55.034, 5.414
53.230, 5.402
51.540, 5.413
49.954, 5.413
48.463, 5.407
47.058, 5.424
45.733, 5.400
44.480, 5.413
43.294, 5.423
42.169, 5.431
41.101, 5.432
40.087, 5.445
39.121, 5.454
38.200, 5.416
37.322, 5.446
36.483, 5.444
35.681, 5.470
34.914, 5.457
34.179, 5.468
33.474, 5.484
32.798, 5.499
32.149, 5.466
31.524, 5.491
30.924, 5.491
30.346, 5.488
29.789, 5.487
29.252, 5.502
28.735, 5.504
28.235, 5.510
27.752, 5.493
27.286, 5.514
26.835, 5.492
26.398, 5.499
25.976, 5.499
25.567, 5.486
25.171, 5.507
24.786, 5.500
24.414, 5.486
24.052, 5.487
23.701, 5.492
23.360, 5.476
23.028, 5.473
22.706, 5.492
22.393, 5.509
22.089, 5.506
21.792, 5.498
21.503, 5.520
21.222, 5.533
20.948, 5.543
20.682, 5.530
20.421, 5.538
20.168, 5.528
19.920, 5.545
19.679, 5.517
19.443, 5.515
19.213, 5.521
18.988, 5.509
18.769, 5.511
18.554, 5.505
18.345, 5.510
18.140, 5.523
17.939, 5.544
17.743, 5.557
17.551, 5.549
17.364, 5.563
17.180, 5.562
17.000, 5.582
16.824, 5.559
16.651, 5.556
16.482, 5.560
16.317, 5.568
16.154, 5.554
15.995, 5.550
15.839, 5.550
15.686, 5.551
15.536, 5.561
15.389, 5.548
15.244, 5.562
15.102, 5.562
14.963, 5.563
14.827, 5.546
14.692, 5.547
14.561, 5.531
14.431, 5.564
14.304, 5.571
14.179, 5.536
14.056, 5.547
13.936, 5.555
13.817, 5.556
13.700, 5.582
13.586, 5.574
13.473, 5.568
13.362, 5.549
13.253, 5.556
13.146, 5.555
13.040, 5.564
12.936, 5.593
12.834, 5.586
12.733, 5.596
12.634, 5.582
12.537, 5.584
12.441, 5.560
12.346, 5.553
12.253, 5.545
12.161, 5.528
12.071, 5.546
11.982, 5.537
11.894, 5.539
11.807, 5.551
11.722, 5.554
11.638, 5.579
11.555, 5.580
11.474, 5.581
11.393, 5.577
11.314, 5.585
11.235, 5.570
11.158, 5.557
11.082, 5.573
11.007, 5.561
10.933, 5.563
10.860, 5.561
10.787, 5.568
10.716, 5.579
10.646, 5.589
10.577, 5.578
10.508, 5.557
10.441, 5.561
10.374, 5.583
10.308, 5.573
10.243, 5.556
10.179, 5.545
10.115, 5.554
10.053, 5.568
9.991, 5.564
9.930, 5.577
9.869, 5.583
9.810, 5.556
9.751, 5.569
9.693, 5.579
9.635, 5.550
9.578, 5.553
9.522, 5.555
9.467, 5.538
9.412, 5.576
9.357, 5.558
9.304, 5.577
9.251, 5.556
9.198, 5.572
9.147, 5.573
9.095, 5.575
9.045, 5.567
8.994, 5.558
8.945, 5.561
8.896, 5.541
8.847, 5.553
8.799, 5.557
8.752, 5.560
8.705, 5.560
8.659, 5.577
8.613, 5.581
8.567, 5.590
8.522, 5.570
8.478, 5.556
8.434, 5.553
8.390, 5.563
8.347, 5.568
8.304, 5.577
8.262, 5.582
8.220, 5.572
8.179, 5.571
8.138, 5.593
8.097, 5.588
8.057, 5.570
8.017, 5.557
7.978, 5.568
7.939, 5.552
7.900, 5.536
7.862, 5.543
7.824, 5.533
7.787, 5.552
7.749, 5.554
7.713, 5.555
7.676, 5.552
7.640, 5.546
7.604, 5.543
7.569, 5.548
7.534, 5.552
7.499, 5.542
7.464, 5.563
7.430, 5.559
7.396, 5.576
7.363, 5.575
7.330, 5.566
7.297, 5.557
7.264, 5.536
7.232, 5.540
7.200, 5.536
7.168, 5.518
7.136, 5.536
7.105, 5.522
7.074, 5.536
7.043, 5.549
7.013, 5.545
6.983, 5.546
6.953, 5.553
6.923, 5.543
6.894, 5.555
6.865, 5.553
6.836, 5.576
6.807, 5.573
6.779, 5.546
6.751, 5.577
6.723, 5.560
6.695, 5.585
6.667, 5.577
6.640, 5.568
6.613, 5.561
6.586, 5.543
6.560, 5.552
6.533, 5.527
6.507, 5.533
6.481, 5.528
6.455, 5.529
6.430, 5.535
6.404, 5.557
6.379, 5.577
6.354, 5.590
6.329, 5.576
6.305, 5.568
6.280, 5.549
6.256, 5.547
6.232, 5.548
6.208, 5.536
6.185, 5.544
6.161, 5.534
6.138, 5.533
6.115, 5.546
6.092, 5.550
6.069, 5.571
6.047, 5.561
6.024, 5.551
6.002, 5.536
5.980, 5.558
5.958, 5.544
5.936, 5.537
5.914, 5.536
5.893, 5.559
5.872, 5.533
5.850, 5.533
5.829, 5.550
5.809, 5.535
5.788, 5.529
5.767, 5.538
5.747, 5.536
5.727, 5.535
5.707, 5.540
5.687, 5.554
5.667, 5.549
5.647, 5.556
5.627, 5.531
5.608, 5.510
5.589, 5.557
5.569, 5.549
5.550, 5.564
5.532, 5.550
5.513, 5.553
5.494, 5.565
5.476, 5.563
5.457, 5.567
5.439, 5.541
5.421, 5.551
5.403, 5.560
5.385, 5.536
5.367, 5.524
5.349, 5.531
5.332, 5.535
5.314, 5.541
5.297, 5.536
5.280, 5.548
5.263, 5.516
5.246, 5.508
5.229, 5.531
5.212, 5.549
5.195, 5.546
5.179, 5.526
5.162, 5.529
5.146, 5.542
5.130, 5.550
5.113, 5.553
5.097, 5.555
5.081, 5.559
5.066, 5.525
5.050, 5.516
5.034, 5.536
5.019, 5.530
5.003, 5.527
4.988, 5.522
4.972, 5.525
4.957, 5.514
4.942, 5.546
4.927, 5.515
4.912, 5.518
