#HIMS 5, Width 16 pulse, 293
t(ms), signal(%full range)
3247.014, 5.410
1082.338, 4.672
649.403, 4.338
463.859, 4.271
360.779, 4.369
295.183, 4.521
249.770, 4.690
216.468, 4.843
191.001, 4.950
170.895, 5.023
154.620, 5.068
141.175, 5.090
129.881, 5.106
120.260, 5.108
111.966, 5.105
104.742, 5.089
98.394, 5.335
92.772, 6.015
87.757, 6.324
83.257, 6.395
79.195, 6.328
75.512, 6.179
72.156, 6.020
69.085, 5.861
66.266, 5.732
63.667, 5.639
61.264, 5.581
59.037, 5.533
56.965, 5.510
55.034, 5.510
53.230, 5.527
51.540, 5.520
49.954, 5.539
48.463, 5.548
47.058, 5.566
45.733, 5.579
44.480, 5.573
43.294, 5.572
42.169, 5.580
41.101, 5.576
40.087, 5.582
39.121, 5.583
38.200, 5.577
37.322, 5.583
36.483, 5.587
35.681, 5.584
34.914, 5.590
34.179, 5.592
33.474, 5.595
32.798, 5.603
32.149, 5.602
31.524, 5.600
30.924, 5.608
30.346, 5.611
29.789, 5.607
29.252, 5.603
28.735, 5.607
28.235, 5.606
27.752, 5.611
27.286, 5.610
26.835, 5.607
26.398, 5.613
25.976, 5.624
25.567, 5.629
25.171, 5.637
24.786, 5.632
24.414, 5.634
24.052, 5.640
23.701, 5.642
23.360, 5.639
23.028, 5.647
22.706, 5.631
22.393, 5.635
22.089, 5.634
21.792, 5.628
21.503, 5.631
21.222, 5.630
20.948, 5.633
20.682, 5.650
20.421, 5.657
20.168, 5.656
19.920, 5.659
19.679, 5.665
19.443, 5.665
19.213, 5.666
18.988, 5.658
18.769, 5.660
18.554, 5.657
18.345, 5.662
18.140, 5.660
17.939, 5.664
17.743, 5.659
17.551, 5.661
17.364, 5.660
17.180, 5.679
17.000, 5.669
16.824, 5.670
16.651, 5.663
16.482, 5.670
16.317, 5.661
16.154, 5.671
15.995, 5.668
15.839, 5.664
15.686, 5.665
15.536, 5.680
15.389, 5.680
15.244, 5.683
15.102, 5.682
14.963, 5.681
14.827, 5.677
14.692, 5.672
14.561, 5.672
14.431, 5.680
14.304, 5.681
14.179, 5.674
14.056, 5.677
13.936, 5.682
13.817, 5.670
13.700, 5.682
13.586, 5.677
13.473, 5.663
13.362, 5.669
13.253, 5.669
13.146, 5.669
13.040, 5.671
12.936, 5.668
12.834, 5.672
12.733, 5.678
12.634, 5.689
12.537, 5.687
12.441, 5.690
12.346, 5.685
12.253, 5.693
12.161, 5.679
12.071, 5.683
11.982, 5.678
11.894, 5.679
11.807, 5.672
11.722, 5.682
11.638, 5.673
11.555, 5.682
11.474, 5.679
11.393, 5.678
11.314, 5.677
11.235, 5.685
11.158, 5.688
11.082, 5.692
11.007, 5.678
10.933, 5.687
10.860, 5.678
10.787, 5.683
10.716, 5.676
10.646, 5.670
10.577, 5.669
10.508, 5.672
10.441, 5.663
10.374, 5.669
10.308, 5.677
10.243, 5.675
10.179, 5.677
10.115, 5.690
10.053, 5.689
9.991, 5.690
9.930, 5.692
9.869, 5.708
9.810, 5.699
9.751, 5.690
9.693, 5.690
9.635, 5.685
9.578, 5.679
9.522, 5.674
9.467, 5.676
9.412, 5.685
9.357, 5.678
9.304, 5.679
9.251, 5.678
9.198, 5.680
9.147, 5.686
9.095, 5.682
9.045, 5.674
8.994, 5.680
8.945, 5.684
8.896, 5.678
8.847, 5.675
8.799, 5.676
8.752, 5.673
8.705, 5.668
8.659, 5.668
8.613, 5.676
8.567, 5.672
8.522, 5.674
8.478, 5.666
8.434, 5.672
8.390, 5.675
8.347, 5.665
8.304, 5.672
8.262, 5.676
8.220, 5.673
8.179, 5.680
8.138, 5.683
8.097, 5.673
8.057, 5.678
8.017, 5.682
7.978, 5.672
7.939, 5.681
7.900, 5.668
7.862, 5.668
7.824, 5.657
7.787, 5.655
7.749, 5.651
7.713, 5.652
7.676, 5.658
7.640, 5.656
7.604, 5.653
7.569, 5.667
7.534, 5.680
7.499, 5.672
7.464, 5.665
7.430, 5.665
7.396, 5.654
7.363, 5.659
7.330, 5.673
7.297, 5.668
7.264, 5.668
7.232, 5.672
7.200, 5.672
7.168, 5.672
7.136, 5.672
7.105, 5.667
7.074, 5.678
7.043, 5.682
7.013, 5.681
6.983, 5.677
6.953, 5.674
6.923, 5.669
6.894, 5.682
6.865, 5.683
6.836, 5.682
6.807, 5.669
6.779, 5.674
