#HIMS 5, Width 16 pulse, 1168
t(ms), signal(%full range)
0.003, 5.241
0.008, 4.509
0.013, 4.158
0.018, 4.096
0.023, 4.190
0.028, 4.348
0.033, 4.507
0.038, 4.646
0.043, 4.762
0.048, 4.837
0.053, 4.885
0.058, 4.910
0.063, 4.923
0.068, 4.925
0.073, 4.924
0.078, 4.916
0.083, 5.148
0.088, 5.830
0.093, 6.133
0.098, 6.205
0.103, 6.136
0.108, 5.992
0.113, 5.832
0.118, 5.682
0.123, 5.555
0.128, 5.467
0.133, 5.406
0.138, 5.367
0.143, 5.341
0.148, 5.334
0.153, 5.335
0.158, 5.344
0.163, 5.354
0.168, 5.359
0.173, 5.372
0.178, 5.377
0.183, 5.386
0.188, 5.390
0.193, 5.401
0.198, 5.404
0.203, 5.405
0.208, 5.404
0.213, 5.404
0.218, 5.404
0.223, 5.406
0.228, 5.401
0.233, 5.406
0.238, 5.403
0.243, 5.408
0.248, 5.416
0.253, 5.419
0.258, 5.416
0.263, 5.429
0.268, 5.440
0.273, 5.436
0.278, 5.436
0.283, 5.434
0.288, 5.434
0.293, 5.437
0.298, 5.443
0.303, 5.436
0.308, 5.441
0.313, 5.448
0.318, 5.450
0.323, 5.451
0.328, 5.454
0.333, 5.454
0.338, 5.452
0.343, 5.460
0.348, 5.462
0.353, 5.464
0.358, 5.462
0.363, 5.461
0.368, 5.471
0.373, 5.471
0.378, 5.467
0.383, 5.469
0.388, 5.469
0.393, 5.464
0.398, 5.470
0.403, 5.473
0.408, 5.475
0.413, 5.477
0.418, 5.477
0.423, 5.476
0.428, 5.481
0.433, 5.480
0.438, 5.481
0.443, 5.480
0.448, 5.486
0.453, 5.483
0.458, 5.477
0.463, 5.481
0.468, 5.488
0.473, 5.483
0.478, 5.488
0.483, 5.485
0.488, 5.489
0.493, 5.488
0.498, 5.487
0.503, 5.492
0.508, 5.490
0.513, 5.489
0.518, 5.490
0.523, 5.491
0.528, 5.486
0.533, 5.489
0.538, 5.491
0.543, 5.492
0.548, 5.494
0.553, 5.500
0.558, 5.501
0.563, 5.502
0.568, 5.503
0.573, 5.494
0.578, 5.498
0.583, 5.499
0.588, 5.503
0.593, 5.503
0.598, 5.498
0.603, 5.497
0.608, 5.493
0.613, 5.494
0.618, 5.496
0.623, 5.493
0.628, 5.493
0.633, 5.495
0.638, 5.496
0.643, 5.497
0.648, 5.501
0.653, 5.499
0.658, 5.504
0.663, 5.508
