#HIMS 5, Width 16 pulse, 196
t(ms), signal(%full range)
0.003, 5.168
0.008, 4.442
0.013, 4.090
0.018, 4.013
0.023, 4.132
0.028, 4.296
0.033, 4.454
0.038, 4.596
0.043, 4.705
0.048, 4.782
0.053, 4.822
0.058, 4.862
0.063, 4.879
0.068, 4.887
0.073, 4.875
0.078, 4.868
0.083, 5.091
0.088, 5.776
0.093, 6.079
0.098, 6.145
0.103, 6.069
0.108, 5.920
0.113, 5.747
0.118, 5.599
0.123, 5.478
0.128, 5.398
0.133, 5.334
0.138, 5.298
0.143, 5.289
0.148, 5.292
0.153, 5.289
0.158, 5.279
0.163, 5.292
0.168, 5.277
0.173, 5.292
0.178, 5.312
0.183, 5.310
0.188, 5.315
0.193, 5.327
0.198, 5.332
0.203, 5.340
0.208, 5.335
0.213, 5.344
0.218, 5.345
0.223, 5.340
0.228, 5.350
0.233, 5.339
0.238, 5.337
0.243, 5.340
0.248, 5.351
0.253, 5.351
0.258, 5.356
0.263, 5.350
0.268, 5.371
0.273, 5.383
0.278, 5.385
0.283, 5.375
0.288, 5.373
0.293, 5.383
0.298, 5.387
0.303, 5.379
0.308, 5.388
0.313, 5.383
0.318, 5.388
0.323, 5.394
0.328, 5.385
0.333, 5.389
0.338, 5.385
0.343, 5.382
0.348, 5.382
0.353, 5.388
0.358, 5.396
0.363, 5.408
0.368, 5.405
0.373, 5.405
0.378, 5.405
0.383, 5.392
0.388, 5.384
0.393, 5.393
0.398, 5.406
0.403, 5.408
0.408, 5.413
0.413, 5.416
0.418, 5.406
0.423, 5.404
0.428, 5.412
0.433, 5.400
0.438, 5.412
0.443, 5.411
0.448, 5.412
0.453, 5.420
0.458, 5.416
0.463, 5.425
0.468, 5.428
0.473, 5.437
0.478, 5.428
0.483, 5.429
0.488, 5.435
0.493, 5.432
0.498, 5.423
0.503, 5.420
0.508, 5.426
0.513, 5.423
0.518, 5.415
0.523, 5.428
0.528, 5.431
0.533, 5.425
0.538, 5.437
0.543, 5.430
0.548, 5.446
0.553, 5.455
0.558, 5.458
0.563, 5.455
0.568, 5.447
0.573, 5.444
0.578, 5.441
0.583, 5.424
0.588, 5.427
0.593, 5.434
0.598, 5.430
0.603, 5.426
0.608, 5.430
0.613, 5.445
0.618, 5.456
0.623, 5.453
0.628, 5.451
0.633, 5.447
0.638, 5.440
0.643, 5.452
0.648, 5.440
0.653, 5.440
0.658, 5.446
0.663, 5.442
0.668, 5.444
0.673, 5.435
0.678, 5.439
0.683, 5.434
0.688, 5.439
0.693, 5.441
0.698, 5.434
0.703, 5.433
0.708, 5.426
0.713, 5.431
0.718, 5.437
0.723, 5.430
0.728, 5.437
0.733, 5.443
0.738, 5.441
0.743, 5.434
0.748, 5.436
0.753, 5.460
0.758, 5.459
0.763, 5.443
0.768, 5.447
0.773, 5.437
0.778, 5.433
0.783, 5.434
0.788, 5.426
0.793, 5.437
0.798, 5.442
0.803, 5.442
0.808, 5.440
0.813, 5.443
0.818, 5.423
0.823, 5.433
0.828, 5.442
0.833, 5.450
0.838, 5.438
0.843, 5.443
0.848, 5.452
0.853, 5.450
0.858, 5.452
0.863, 5.447
0.868, 5.442
0.873, 5.432
0.878, 5.446
0.883, 5.427
0.888, 5.425
0.893, 5.441
0.898, 5.433
0.903, 5.430
0.908, 5.428
0.913, 5.406
0.918, 5.422
0.923, 5.423
0.928, 5.443
0.933, 5.439
0.938, 5.432
0.943, 5.435
0.948, 5.433
0.953, 5.445
0.958, 5.443
0.963, 5.449
0.968, 5.453
0.973, 5.447
0.978, 5.436
0.983, 5.426
0.988, 5.421
0.993, 5.421
0.998, 5.420
1.003, 5.426
1.008, 5.429
1.013, 5.436
1.018, 5.432
1.023, 5.438
1.028, 5.439
1.033, 5.439
1.038, 5.437
1.043, 5.431
1.048, 5.431
1.053, 5.444
1.058, 5.415
1.063, 5.407
1.068, 5.403
1.073, 5.404
1.078, 5.407
1.083, 5.412
1.088, 5.411
1.093, 5.404
1.098, 5.408
1.103, 5.405
1.108, 5.400
1.113, 5.406
1.118, 5.404
1.123, 5.413
1.128, 5.413
1.133, 5.413
1.138, 5.408
1.143, 5.407
1.148, 5.406
1.153, 5.396
1.158, 5.388
1.163, 5.381
1.168, 5.385
1.173, 5.388
1.178, 5.389
1.183, 5.391
1.188, 5.388
1.193, 5.397
1.198, 5.404
1.203, 5.405
1.208, 5.394
1.213, 5.393
1.218, 5.398
1.223, 5.388
1.228, 5.395
1.233, 5.406
1.238, 5.396
1.243, 5.391
1.248, 5.392
1.253, 5.405
1.258, 5.407
1.263, 5.401
1.268, 5.402
1.273, 5.404
1.278, 5.409
1.283, 5.405
1.288, 5.398
1.293, 5.386
1.298, 5.373
1.303, 5.381
1.308, 5.388
1.313, 5.401
1.318, 5.393
1.323, 5.395
1.328, 5.388
1.333, 5.386
1.338, 5.378
1.343, 5.390
1.348, 5.401
1.353, 5.404
1.358, 5.390
1.363, 5.391
1.368, 5.394
1.373, 5.392
1.378, 5.391
1.383, 5.394
1.388, 5.391
1.393, 5.380
1.398, 5.391
1.403, 5.392
1.408, 5.398
1.413, 5.385
1.418, 5.386
1.423, 5.393
1.428, 5.404
1.433, 5.401
1.438, 5.396
1.443, 5.392
1.448, 5.392
1.453, 5.402
1.458, 5.396
1.463, 5.397
1.468, 5.388
1.473, 5.380
1.478, 5.371
1.483, 5.379
1.488, 5.380
1.493, 5.393
1.498, 5.382
1.503, 5.382
1.508, 5.397
1.513, 5.390
1.518, 5.392
1.523, 5.390
