#HIMS 5, Width 16 pulse, 97
t(ms), signal(%full range)
0.003, 4.950
0.008, 4.189
0.013, 3.852
0.018, 3.790
0.023, 3.907
0.028, 4.075
0.033, 4.243
0.038, 4.378
0.043, 4.471
0.048, 4.526
0.053, 4.579
0.058, 4.614
0.063, 4.615
0.068, 4.612
0.073, 4.606
0.078, 4.610
0.083, 4.845
0.088, 5.551
0.093, 5.831
0.098, 5.900
0.103, 5.837
0.108, 5.682
0.113, 5.518
0.118, 5.377
0.123, 5.262
0.128, 5.172
0.133, 5.114
0.138, 5.078
0.143, 5.053
0.148, 5.048
0.153, 5.030
0.158, 5.039
0.163, 5.062
0.168, 5.073
0.173, 5.070
0.178, 5.094
0.183, 5.089
0.188, 5.080
0.193, 5.082
0.198, 5.073
0.203, 5.107
0.208, 5.098
0.213, 5.101
0.218, 5.137
0.223, 5.109
0.228, 5.109
0.233, 5.115
0.238, 5.116
0.243, 5.116
0.248, 5.106
0.253, 5.112
0.258, 5.108
0.263, 5.119
0.268, 5.120
0.273, 5.096
0.278, 5.095
0.283, 5.121
0.288, 5.128
0.293, 5.143
0.298, 5.150
0.303, 5.184
0.308, 5.179
0.313, 5.167
0.318, 5.174
0.323, 5.169
0.328, 5.174
0.333, 5.168
0.338, 5.185
0.343, 5.174
0.348, 5.172
0.353, 5.175
0.358, 5.145
0.363, 5.133
0.368, 5.144
0.373, 5.136
0.378, 5.160
0.383, 5.173
0.388, 5.180
0.393, 5.192
0.398, 5.196
0.403, 5.199
0.408, 5.188
0.413, 5.173
0.418, 5.190
0.423, 5.182
0.428, 5.182
0.433, 5.174
0.438, 5.151
0.443, 5.159
0.448, 5.159
0.453, 5.170
0.458, 5.183
0.463, 5.193
0.468, 5.186
0.473, 5.206
0.478, 5.213
0.483, 5.225
0.488, 5.232
0.493, 5.215
0.498, 5.215
0.503, 5.212
0.508, 5.186
0.513, 5.200
0.518, 5.221
0.523, 5.215
0.528, 5.202
0.533, 5.191
0.538, 5.172
0.543, 5.178
0.548, 5.193
0.553, 5.201
0.558, 5.200
0.563, 5.212
0.568, 5.211
0.573, 5.216
0.578, 5.212
0.583, 5.215
0.588, 5.202
0.593, 5.194
0.598, 5.188
0.603, 5.195
0.608, 5.197
0.613, 5.207
0.618, 5.217
0.623, 5.203
0.628, 5.205
0.633, 5.202
0.638, 5.215
0.643, 5.209
0.648, 5.203
0.653, 5.202
0.658, 5.191
0.663, 5.206
0.668, 5.204
0.673, 5.228
0.678, 5.207
0.683, 5.199
0.688, 5.199
0.693, 5.203
0.698, 5.202
0.703, 5.225
0.708, 5.230
0.713, 5.234
0.718, 5.229
0.723, 5.232
0.728, 5.220
0.733, 5.214
0.738, 5.209
0.743, 5.195
0.748, 5.197
0.753, 5.184
0.758, 5.179
0.763, 5.192
0.768, 5.183
0.773, 5.181
0.778, 5.181
0.783, 5.213
0.788, 5.211
0.793, 5.218
0.798, 5.230
0.803, 5.218
0.808, 5.219
0.813, 5.222
0.818, 5.215
0.823, 5.199
0.828, 5.200
0.833, 5.197
0.838, 5.183
0.843, 5.191
0.848, 5.188
0.853, 5.189
0.858, 5.207
0.863, 5.205
0.868, 5.197
0.873, 5.226
0.878, 5.211
0.883, 5.224
0.888, 5.218
0.893, 5.222
0.898, 5.190
0.903, 5.207
0.908, 5.213
0.913, 5.199
0.918, 5.193
0.923, 5.167
0.928, 5.188
0.933, 5.191
0.938, 5.181
0.943, 5.202
0.948, 5.209
0.953, 5.208
0.958, 5.222
0.963, 5.215
0.968, 5.213
0.973, 5.216
0.978, 5.218
0.983, 5.221
0.988, 5.222
0.993, 5.218
0.998, 5.217
1.003, 5.206
1.008, 5.191
1.013, 5.184
1.018, 5.172
1.023, 5.185
1.028, 5.188
1.033, 5.194
1.038, 5.190
1.043, 5.205
1.048, 5.205
1.053, 5.211
1.058, 5.203
