#HIMS 5, Width 16 pulse, 341
t(ms), signal(%full range)
0.003, 5.129
0.008, 4.385
0.013, 4.035
0.018, 3.982
0.023, 4.085
0.028, 4.244
0.033, 4.396
0.038, 4.539
0.043, 4.656
0.048, 4.727
0.053, 4.770
0.058, 4.812
0.063, 4.824
0.068, 4.826
0.073, 4.817
0.078, 4.813
0.083, 5.040
0.088, 5.721
0.093, 6.031
0.098, 6.096
0.103, 6.031
0.108, 5.878
0.113, 5.718
0.118, 5.573
0.123, 5.449
0.128, 5.357
0.133, 5.300
0.138, 5.264
0.143, 5.248
0.148, 5.237
0.153, 5.238
0.158, 5.239
0.163, 5.237
0.168, 5.249
0.173, 5.255
0.178, 5.259
0.183, 5.269
0.188, 5.275
0.193, 5.279
0.198, 5.291
0.203, 5.296
0.208, 5.294
0.213, 5.301
0.218, 5.310
0.223, 5.307
0.228, 5.308
0.233, 5.306
0.238, 5.311
0.243, 5.307
0.248, 5.307
0.253, 5.312
0.258, 5.318
0.263, 5.315
0.268, 5.313
0.273, 5.319
0.278, 5.322
0.283, 5.321
0.288, 5.324
0.293, 5.328
0.298, 5.337
0.303, 5.340
0.308, 5.334
0.313, 5.333
0.318, 5.334
0.323, 5.338
0.328, 5.336
0.333, 5.337
0.338, 5.338
0.343, 5.340
0.348, 5.341
0.353, 5.345
0.358, 5.344
0.363, 5.353
0.368, 5.352
0.373, 5.364
0.378, 5.359
0.383, 5.366
0.388, 5.363
0.393, 5.357
0.398, 5.361
0.403, 5.356
0.408, 5.363
0.413, 5.370
0.418, 5.366
0.423, 5.363
0.428, 5.364
0.433, 5.374
0.438, 5.367
0.443, 5.372
0.448, 5.370
0.453, 5.368
0.458, 5.375
0.463, 5.373
0.468, 5.383
0.473, 5.383
0.478, 5.375
0.483, 5.387
0.488, 5.385
0.493, 5.382
0.498, 5.382
0.503, 5.380
0.508, 5.377
0.513, 5.378
0.518, 5.379
0.523, 5.381
0.528, 5.378
0.533, 5.375
0.538, 5.379
0.543, 5.388
0.548, 5.388
0.553, 5.395
0.558, 5.391
0.563, 5.397
0.568, 5.393
0.573, 5.389
0.578, 5.388
0.583, 5.390
0.588, 5.385
0.593, 5.392
0.598, 5.395
0.603, 5.389
0.608, 5.401
0.613, 5.392
0.618, 5.393
0.623, 5.392
0.628, 5.389
0.633, 5.389
0.638, 5.384
0.643, 5.400
0.648, 5.386
0.653, 5.391
0.658, 5.389
0.663, 5.385
0.668, 5.396
0.673, 5.394
0.678, 5.398
0.683, 5.399
0.688, 5.401
0.693, 5.394
0.698, 5.399
0.703, 5.404
0.708, 5.395
0.713, 5.404
0.718, 5.399
0.723, 5.399
0.728, 5.392
0.733, 5.384
0.738, 5.379
0.743, 5.376
0.748, 5.383
0.753, 5.391
0.758, 5.397
0.763, 5.399
0.768, 5.411
0.773, 5.407
0.778, 5.405
0.783, 5.409
0.788, 5.398
0.793, 5.407
0.798, 5.395
0.803, 5.390
0.808, 5.391
0.813, 5.391
0.818, 5.393
0.823, 5.387
0.828, 5.378
0.833, 5.373
0.838, 5.385
0.843, 5.393
0.848, 5.401
0.853, 5.406
0.858, 5.400
0.863, 5.397
0.868, 5.401
0.873, 5.401
0.878, 5.399
0.883, 5.392
0.888, 5.393
0.893, 5.386
0.898, 5.387
0.903, 5.387
0.908, 5.389
0.913, 5.378
0.918, 5.377
0.923, 5.380
0.928, 5.383
0.933, 5.395
0.938, 5.401
0.943, 5.397
0.948, 5.392
0.953, 5.392
0.958, 5.394
0.963, 5.391
0.968, 5.385
0.973, 5.382
0.978, 5.378
0.983, 5.390
0.988, 5.391
0.993, 5.381
0.998, 5.382
1.003, 5.383
1.008, 5.379
1.013, 5.379
1.018, 5.389
1.023, 5.393
1.028, 5.398
1.033, 5.401
1.038, 5.386
1.043, 5.387
1.048, 5.379
1.053, 5.381
1.058, 5.395
1.063, 5.389
1.068, 5.388
1.073, 5.406
1.078, 5.402
1.083, 5.401
1.088, 5.400
1.093, 5.402
1.098, 5.396
1.103, 5.393
1.108, 5.395
1.113, 5.389
1.118, 5.393
1.123, 5.394
1.128, 5.387
1.133, 5.384
1.138, 5.387
1.143, 5.391
1.148, 5.398
1.153, 5.402
1.158, 5.408
1.163, 5.409
1.168, 5.399
1.173, 5.396
1.178, 5.397
1.183, 5.399
1.188, 5.401
1.193, 5.402
1.198, 5.389
1.203, 5.390
1.208, 5.398
1.213, 5.391
1.218, 5.384
1.223, 5.381
1.228, 5.384
1.233, 5.393
1.238, 5.390
1.243, 5.394
1.248, 5.390
1.253, 5.404
1.258, 5.398
1.263, 5.401
1.268, 5.397
1.273, 5.394
1.278, 5.390
1.283, 5.389
1.288, 5.381
1.293, 5.383
1.298, 5.385
1.303, 5.384
1.308, 5.389
1.313, 5.393
1.318, 5.387
1.323, 5.393
1.328, 5.389
1.333, 5.395
1.338, 5.389
1.343, 5.393
1.348, 5.397
1.353, 5.392
1.358, 5.388
1.363, 5.384
1.368, 5.379
1.373, 5.377
1.378, 5.392
1.383, 5.393
1.388, 5.393
1.393, 5.390
1.398, 5.383
1.403, 5.377
1.408, 5.382
1.413, 5.376
1.418, 5.381
1.423, 5.394
1.428, 5.394
1.433, 5.389
1.438, 5.398
1.443, 5.394
1.448, 5.385
1.453, 5.391
1.458, 5.391
1.463, 5.395
1.468, 5.384
1.473, 5.382
1.478, 5.392
1.483, 5.381
1.488, 5.381
1.493, 5.373
1.498, 5.385
1.503, 5.381
1.508, 5.381
1.513, 5.380
1.518, 5.384
1.523, 5.385
1.528, 5.388
1.533, 5.384
1.538, 5.381
1.543, 5.378
1.548, 5.380
1.553, 5.373
1.558, 5.386
1.563, 5.389
1.568, 5.384
1.573, 5.391
1.578, 5.396
1.583, 5.383
1.588, 5.383
1.593, 5.383
1.598, 5.379
1.603, 5.376
1.608, 5.384
1.613, 5.395
1.618, 5.384
1.623, 5.385
1.628, 5.377
1.633, 5.373
1.638, 5.386
1.643, 5.375
1.648, 5.369
1.653, 5.369
1.658, 5.371
1.663, 5.380
1.668, 5.374
1.673, 5.378
1.678, 5.385
1.683, 5.375
1.688, 5.373
1.693, 5.385
1.698, 5.381
1.703, 5.383
1.708, 5.389
1.713, 5.376
1.718, 5.389
1.723, 5.381
1.728, 5.380
1.733, 5.380
1.738, 5.387
1.743, 5.393
1.748, 5.384
1.753, 5.381
1.758, 5.377
1.763, 5.375
1.768, 5.371
1.773, 5.368
1.778, 5.366
1.783, 5.369
1.788, 5.364
1.793, 5.371
1.798, 5.374
1.803, 5.369
1.808, 5.372
1.813, 5.372
1.818, 5.374
1.823, 5.378
1.828, 5.394
1.833, 5.381
1.838, 5.378
1.843, 5.383
1.848, 5.380
