#HIMS 5, Width 16 pulse, 48
t(ms), signal(%full range)
0.003, 5.128
0.008, 4.396
0.013, 4.036
0.018, 3.970
0.023, 4.090
0.028, 4.259
0.033, 4.417
0.038, 4.559
0.043, 4.682
0.048, 4.739
0.053, 4.795
0.058, 4.821
0.063, 4.861
0.068, 4.869
0.073, 4.847
0.078, 4.847
0.083, 5.058
0.088, 5.743
0.093, 6.023
0.098, 6.095
0.103, 6.036
0.108, 5.873
0.113, 5.705
0.118, 5.592
0.123, 5.475
0.128, 5.361
0.133, 5.312
0.138, 5.262
0.143, 5.272
0.148, 5.243
0.153, 5.250
0.158, 5.243
0.163, 5.271
0.168, 5.265
0.173, 5.245
0.178, 5.257
0.183, 5.286
0.188, 5.288
0.193, 5.267
0.198, 5.273
0.203, 5.299
0.208, 5.298
0.213, 5.310
0.218, 5.327
0.223, 5.334
0.228, 5.337
0.233, 5.318
0.238, 5.323
0.243, 5.318
0.248, 5.317
0.253, 5.332
0.258, 5.343
0.263, 5.351
0.268, 5.335
0.273, 5.342
0.278, 5.329
0.283, 5.329
0.288, 5.303
0.293, 5.323
0.298, 5.331
0.303, 5.325
0.308, 5.347
0.313, 5.351
0.318, 5.383
0.323, 5.390
0.328, 5.384
0.333, 5.391
0.338, 5.392
0.343, 5.379
0.348, 5.398
0.353, 5.404
0.358, 5.367
0.363, 5.364
0.368, 5.335
0.373, 5.353
0.378, 5.357
0.383, 5.348
0.388, 5.372
0.393, 5.361
0.398, 5.374
0.403, 5.379
0.408, 5.388
0.413, 5.393
0.418, 5.397
0.423, 5.379
0.428, 5.384
0.433, 5.381
0.438, 5.388
0.443, 5.394
0.448, 5.395
0.453, 5.388
0.458, 5.378
0.463, 5.396
0.468, 5.398
0.473, 5.378
0.478, 5.374
0.483, 5.416
0.488, 5.388
0.493, 5.370
0.498, 5.384
0.503, 5.388
0.508, 5.389
0.513, 5.389
0.518, 5.400
0.523, 5.413
0.528, 5.420
0.533, 5.402
0.538, 5.419
0.543, 5.417
0.548, 5.419
0.553, 5.407
0.558, 5.408
0.563, 5.406
0.568, 5.405
0.573, 5.408
0.578, 5.403
0.583, 5.394
0.588, 5.411
0.593, 5.386
0.598, 5.389
0.603, 5.392
0.608, 5.403
0.613, 5.398
0.618, 5.398
0.623, 5.414
0.628, 5.440
0.633, 5.460
0.638, 5.450
0.643, 5.442
0.648, 5.428
0.653, 5.435
0.658, 5.403
0.663, 5.389
0.668, 5.386
0.673, 5.387
0.678, 5.378
0.683, 5.378
0.688, 5.397
0.693, 5.530
0.698, 5.530
0.703, 5.558
0.708, 5.564
0.713, 5.541
0.718, 5.555
0.723, 5.584
0.728, 5.580
0.733, 5.548
0.738, 5.521
0.743, 5.521
0.748, 5.497
0.753, 5.488
0.758, 5.505
0.763, 5.477
0.768, 5.511
0.773, 5.481
0.778, 5.521
0.783, 5.520
0.788, 5.542
0.793, 5.576
0.798, 5.577
0.803, 5.566
0.808, 5.556
0.813, 5.552
0.818, 5.541
0.823, 5.534
0.828, 5.545
0.833, 5.544
0.838, 5.557
0.843, 5.555
0.848, 5.543
0.853, 5.524
0.858, 5.497
0.863, 5.523
0.868, 5.510
0.873, 5.548
0.878, 5.521
0.883, 5.537
0.888, 5.516
0.893, 5.515
0.898, 5.510
0.903, 5.522
0.908, 5.528
0.913, 5.514
0.918, 5.502
0.923, 5.505
0.928, 5.538
0.933, 5.543
0.938, 5.546
0.943, 5.525
0.948, 5.535
0.953, 5.562
0.958, 5.544
0.963, 5.526
0.968, 5.530
0.973, 5.526
0.978, 5.508
0.983, 5.516
0.988, 5.514
0.993, 5.531
0.998, 5.526
1.003, 5.522
1.008, 5.539
1.013, 5.542
1.018, 5.520
1.023, 5.569
1.028, 5.538
1.033, 5.515
1.038, 5.512
1.043, 5.529
1.048, 5.519
1.053, 5.512
1.058, 5.492
1.063, 5.506
1.068, 5.516
1.073, 5.483
1.078, 5.498
1.083, 5.511
1.088, 5.522
1.093, 5.520
1.098, 5.515
1.103, 5.514
1.108, 5.525
1.113, 5.488
1.118, 5.508
1.123, 5.485
1.128, 5.499
1.133, 5.496
1.138, 5.510
1.143, 5.486
1.148, 5.499
1.153, 5.520
1.158, 5.533
1.163, 5.503
1.168, 5.519
1.173, 5.513
1.178, 5.535
1.183, 5.535
1.188, 5.521
1.193, 5.510
1.198, 5.533
1.203, 5.535
1.208, 5.492
1.213, 5.506
1.218, 5.525
1.223, 5.504
1.228, 5.494
1.233, 5.518
1.238, 5.507
1.243, 5.509
1.248, 5.494
1.253, 5.510
1.258, 5.505
1.263, 5.526
1.268, 5.505
1.273, 5.534
1.278, 5.528
1.283, 5.530
1.288, 5.530
1.293, 5.527
1.298, 5.517
1.303, 5.505
1.308, 5.531
1.313, 5.504
1.318, 5.501
1.323, 5.499
1.328, 5.517
1.333, 5.504
1.338, 5.489
1.343, 5.474
1.348, 5.499
1.353, 5.504
1.358, 5.481
1.363, 5.482
1.368, 5.532
1.373, 5.522
1.378, 5.522
1.383, 5.521
1.388, 5.521
1.393, 5.487
1.398, 5.513
1.403, 5.510
1.408, 5.507
1.413, 5.522
1.418, 5.508
1.423, 5.531
1.428, 5.493
1.433, 5.525
1.438, 5.495
1.443, 5.512
1.448, 5.510
