#HIMS 5, Width 16 pulse, 330
t(ms), signal(%full range)
0.003, 5.007
0.008, 4.274
0.013, 3.923
0.018, 3.868
0.023, 3.976
0.028, 4.136
0.033, 4.300
0.038, 4.436
0.043, 4.541
0.048, 4.619
0.053, 4.662
0.058, 4.692
0.063, 4.708
0.068, 4.702
0.073, 4.698
0.078, 4.686
0.083, 4.919
0.088, 5.610
0.093, 5.912
0.098, 5.975
0.103, 5.903
0.108, 5.759
0.113, 5.603
0.118, 5.462
0.123, 5.336
0.128, 5.244
0.133, 5.181
0.138, 5.144
0.143, 5.133
0.148, 5.123
0.153, 5.131
0.158, 5.133
0.163, 5.135
0.168, 5.137
0.173, 5.143
0.178, 5.148
0.183, 5.151
0.188, 5.154
0.193, 5.164
0.198, 5.163
0.203, 5.170
0.208, 5.177
0.213, 5.188
0.218, 5.181
0.223, 5.184
0.228, 5.191
0.233, 5.189
0.238, 5.180
0.243, 5.189
0.248, 5.189
0.253, 5.189
0.258, 5.201
0.263, 5.201
0.268, 5.209
0.273, 5.214
0.278, 5.207
0.283, 5.209
0.288, 5.212
0.293, 5.225
0.298, 5.225
0.303, 5.226
0.308, 5.213
0.313, 5.225
0.318, 5.222
0.323, 5.219
0.328, 5.220
0.333, 5.211
0.338, 5.217
0.343, 5.219
0.348, 5.226
0.353, 5.228
0.358, 5.236
0.363, 5.238
0.368, 5.239
0.373, 5.233
0.378, 5.227
0.383, 5.224
0.388, 5.222
0.393, 5.234
0.398, 5.234
0.403, 5.231
0.408, 5.229
0.413, 5.227
0.418, 5.240
0.423, 5.241
0.428, 5.236
0.433, 5.235
0.438, 5.243
0.443, 5.248
0.448, 5.246
0.453, 5.249
0.458, 5.241
0.463, 5.235
0.468, 5.247
0.473, 5.242
0.478, 5.239
0.483, 5.240
0.488, 5.239
0.493, 5.248
0.498, 5.255
0.503, 5.260
0.508, 5.257
0.513, 5.258
0.518, 5.269
0.523, 5.257
0.528, 5.260
0.533, 5.262
0.538, 5.259
0.543, 5.266
0.548, 5.250
0.553, 5.260
0.558, 5.255
0.563, 5.257
0.568, 5.260
0.573, 5.264
0.578, 5.257
0.583, 5.265
0.588, 5.269
0.593, 5.271
0.598, 5.262
0.603, 5.271
0.608, 5.265
0.613, 5.266
0.618, 5.263
0.623, 5.261
0.628, 5.264
0.633, 5.264
0.638, 5.265
0.643, 5.262
0.648, 5.268
0.653, 5.267
0.658, 5.269
0.663, 5.265
0.668, 5.263
0.673, 5.263
0.678, 5.268
0.683, 5.274
0.688, 5.272
0.693, 5.276
0.698, 5.273
0.703, 5.269
0.708, 5.267
0.713, 5.261
0.718, 5.271
0.723, 5.258
0.728, 5.256
0.733, 5.262
0.738, 5.256
0.743, 5.251
0.748, 5.267
0.753, 5.271
0.758, 5.277
0.763, 5.277
0.768, 5.283
0.773, 5.270
0.778, 5.266
0.783, 5.272
0.788, 5.274
0.793, 5.267
0.798, 5.258
0.803, 5.256
0.808, 5.261
0.813, 5.261
0.818, 5.251
0.823, 5.258
0.828, 5.268
0.833, 5.271
0.838, 5.265
0.843, 5.272
0.848, 5.282
0.853, 5.272
0.858, 5.277
0.863, 5.271
0.868, 5.271
0.873, 5.261
0.878, 5.258
0.883, 5.255
0.888, 5.259
0.893, 5.256
0.898, 5.260
0.903, 5.261
0.908, 5.264
0.913, 5.263
0.918, 5.260
0.923, 5.267
0.928, 5.262
0.933, 5.258
0.938, 5.258
0.943, 5.249
0.948, 5.256
0.953, 5.248
0.958, 5.249
0.963, 5.247
0.968, 5.253
0.973, 5.253
0.978, 5.253
0.983, 5.267
0.988, 5.266
0.993, 5.264
0.998, 5.258
1.003, 5.260
1.008, 5.272
1.013, 5.265
1.018, 5.263
1.023, 5.254
1.028, 5.251
1.033, 5.252
1.038, 5.249
1.043, 5.262
1.048, 5.263
1.053, 5.252
1.058, 5.247
1.063, 5.253
1.068, 5.253
1.073, 5.252
1.078, 5.251
1.083, 5.255
1.088, 5.256
1.093, 5.263
