#HIMS 5, Width 16 pulse, 146
t(ms), signal(%full range)
0.003, 4.920
0.008, 4.148
0.013, 3.816
0.018, 3.752
0.023, 3.866
0.028, 4.040
0.033, 4.212
0.038, 4.332
0.043, 4.437
0.048, 4.522
0.053, 4.581
0.058, 4.592
0.063, 4.596
0.068, 4.602
0.073, 4.590
0.078, 4.577
0.083, 4.833
0.088, 5.503
0.093, 5.817
0.098, 5.871
0.103, 5.790
0.108, 5.651
0.113, 5.494
0.118, 5.338
0.123, 5.216
0.128, 5.128
0.133, 5.079
0.138, 5.040
0.143, 5.031
0.148, 5.034
0.153, 5.042
0.158, 5.028
0.163, 5.040
0.168, 5.033
0.173, 5.035
0.178, 5.030
0.183, 5.048
0.188, 5.049
0.193, 5.051
0.198, 5.063
0.203, 5.074
0.208, 5.088
0.213, 5.083
0.218, 5.091
0.223, 5.091
0.228, 5.092
0.233, 5.080
0.238, 5.082
0.243, 5.084
0.248, 5.093
0.253, 5.099
0.258, 5.097
0.263, 5.096
0.268, 5.103
0.273, 5.106
0.278, 5.092
0.283, 5.109
0.288, 5.105
0.293, 5.112
0.298, 5.121
0.303, 5.118
0.308, 5.126
0.313, 5.133
0.318, 5.138
0.323, 5.141
0.328, 5.129
0.333, 5.124
0.338, 5.124
0.343, 5.129
0.348, 5.122
0.353, 5.126
0.358, 5.138
0.363, 5.125
0.368, 5.135
0.373, 5.130
0.378, 5.129
0.383, 5.146
0.388, 5.137
0.393, 5.136
0.398, 5.129
0.403, 5.130
0.408, 5.131
0.413, 5.133
0.418, 5.137
0.423, 5.143
0.428, 5.153
0.433, 5.143
0.438, 5.149
0.443, 5.153
0.448, 5.162
0.453, 5.166
0.458, 5.160
0.463, 5.162
0.468, 5.177
0.473, 5.180
0.478, 5.165
0.483, 5.167
0.488, 5.174
0.493, 5.171
0.498, 5.155
0.503, 5.154
0.508, 5.161
0.513, 5.167
0.518, 5.162
0.523, 5.170
0.528, 5.152
0.533, 5.163
0.538, 5.162
0.543, 5.168
0.548, 5.169
0.553, 5.191
0.558, 5.181
0.563, 5.177
0.568, 5.183
0.573, 5.188
0.578, 5.179
0.583, 5.169
0.588, 5.177
0.593, 5.182
0.598, 5.172
0.603, 5.172
0.608, 5.194
0.613, 5.188
0.618, 5.176
0.623, 5.160
0.628, 5.167
0.633, 5.175
0.638, 5.175
0.643, 5.178
0.648, 5.183
0.653, 5.173
0.658, 5.167
0.663, 5.172
0.668, 5.170
0.673, 5.174
0.678, 5.170
0.683, 5.166
0.688, 5.164
0.693, 5.163
0.698, 5.171
0.703, 5.170
0.708, 5.170
0.713, 5.180
0.718, 5.189
0.723, 5.198
0.728, 5.193
0.733, 5.194
0.738, 5.182
0.743, 5.167
0.748, 5.162
0.753, 5.166
0.758, 5.168
0.763, 5.164
0.768, 5.168
0.773, 5.173
0.778, 5.184
0.783, 5.180
0.788, 5.178
0.793, 5.191
0.798, 5.190
0.803, 5.179
0.808, 5.179
0.813, 5.178
0.818, 5.181
0.823, 5.169
0.828, 5.176
0.833, 5.170
