#HIMS 5, Width 16 pulse, 1056
t(ms), signal(%full range)
1.758, 5.299
1.763, 5.302
1.768, 5.301
1.773, 5.306
1.778, 5.304
1.783, 5.300
1.788, 5.296
1.793, 5.295
1.798, 5.288
1.803, 5.295
1.808, 5.291
1.813, 5.296
1.818, 5.294
1.823, 5.299
1.828, 5.297
1.833, 5.299
1.838, 5.300
1.843, 5.298
1.848, 5.300
1.853, 5.301
1.858, 5.297
1.863, 5.303
1.868, 5.298
1.873, 5.294
1.878, 5.299
1.883, 5.300
1.888, 5.301
1.893, 5.298
1.898, 5.298
1.903, 5.298
1.908, 5.295
1.913, 5.291
1.918, 5.299
1.923, 5.299
1.928, 5.300
1.933, 5.300
1.938, 5.301
1.943, 5.298
1.948, 5.302
1.953, 5.304
1.958, 5.298
1.963, 5.303
1.968, 5.294
1.973, 5.293
1.978, 5.293
1.983, 5.292
1.988, 5.293
1.993, 5.288
1.998, 5.286
2.003, 5.292
2.008, 5.294
2.013, 5.296
2.018, 5.296
2.023, 5.297
2.028, 5.297
2.033, 5.297
2.038, 5.296
2.043, 5.297
2.048, 5.295
2.053, 5.299
2.058, 5.293
2.063, 5.298
2.068, 5.298
2.073, 5.300
2.078, 5.300
2.083, 5.295
2.088, 5.291
2.093, 5.298
2.098, 5.295
2.103, 5.296
2.108, 5.301
2.113, 5.294
2.118, 5.295
2.123, 5.296
2.128, 5.295
2.133, 5.295
2.138, 5.295
2.143, 5.299
2.148, 5.295
2.153, 5.292
2.158, 5.297
2.163, 5.300
2.168, 5.298
2.173, 5.295
2.178, 5.300
2.183, 5.297
2.188, 5.292
2.193, 5.297
2.198, 5.296
2.203, 5.295
2.208, 5.296
2.213, 5.294
2.218, 5.295
2.223, 5.294
2.228, 5.297
2.233, 5.300
2.238, 5.299
2.243, 5.297
2.248, 5.298
2.253, 5.297
2.258, 5.298
2.263, 5.300
2.268, 5.303
2.273, 5.300
2.278, 5.301
2.283, 5.294
2.288, 5.296
2.293, 5.302
2.298, 5.305
2.303, 5.301
2.308, 5.305
2.313, 5.300
2.318, 5.298
2.323, 5.292
2.328, 5.299
2.333, 5.300
2.338, 5.300
2.343, 5.301
2.348, 5.301
2.353, 5.300
2.358, 5.298
2.363, 5.299
2.368, 5.301
2.373, 5.300
2.378, 5.304
2.383, 5.307
2.388, 5.305
2.393, 5.304
2.398, 5.306
2.403, 5.304
2.408, 5.301
2.413, 5.307
2.418, 5.304
2.423, 5.304
2.428, 5.304
2.433, 5.303
2.438, 5.306
2.443, 5.308
2.448, 5.304
2.453, 5.304
2.458, 5.304
2.463, 5.305
2.468, 5.307
2.473, 5.303
2.478, 5.305
2.483, 5.304
2.488, 5.303
2.493, 5.303
2.498, 5.308
2.503, 5.308
2.508, 5.309
2.513, 5.308
2.518, 5.311
2.523, 5.317
2.528, 5.315
2.533, 5.315
2.538, 5.321
2.543, 5.314
2.548, 5.318
2.553, 5.323
2.558, 5.316
2.563, 5.312
2.568, 5.311
2.573, 5.306
2.578, 5.317
2.583, 5.314
2.588, 5.313
2.593, 5.316
2.598, 5.318
2.603, 5.319
2.608, 5.317
2.613, 5.320
2.618, 5.317
2.623, 5.322
2.628, 5.324
2.633, 5.320
2.638, 5.323
2.643, 5.327
2.648, 5.322
2.653, 5.323
2.658, 5.330
2.663, 5.331
2.668, 5.336
2.673, 5.337
2.678, 5.338
2.683, 5.340
2.688, 5.338
2.693, 5.340
2.698, 5.340
2.703, 5.337
2.708, 5.333
2.713, 5.336
2.718, 5.340
2.723, 5.342
2.728, 5.345
2.733, 5.340
2.738, 5.338
2.743, 5.345
2.748, 5.341
2.753, 5.342
2.758, 5.346
2.763, 5.347
2.768, 5.348
2.773, 5.356
2.778, 5.362
2.783, 5.356
2.788, 5.354
2.793, 5.364
2.798, 5.365
2.803, 5.366
2.808, 5.366
2.813, 5.370
2.818, 5.376
2.823, 5.374
2.828, 5.379
2.833, 5.380
2.838, 5.387
2.843, 5.394
2.848, 5.402
2.853, 5.404
2.858, 5.419
2.863, 5.432
2.868, 5.453
2.873, 5.469
2.878, 5.495
2.883, 5.510
2.888, 5.540
2.893, 5.567
2.898, 5.593
2.903, 5.624
2.908, 5.649
2.913, 5.673
2.918, 5.697
2.923, 5.720
2.928, 5.740
2.933, 5.754
2.938, 5.767
2.943, 5.778
2.948, 5.784
2.953, 5.787
2.958, 5.785
2.963, 5.779
2.968, 5.770
2.973, 5.757
2.978, 5.749
2.983, 5.734
2.988, 5.721
2.993, 5.706
2.998, 5.697
3.003, 5.686
3.008, 5.673
3.013, 5.666
3.018, 5.663
3.023, 5.658
3.028, 5.659
3.033, 5.660
3.038, 5.654
3.043, 5.652
3.048, 5.656
3.053, 5.656
3.058, 5.663
3.063, 5.670
3.068, 5.677
3.073, 5.693
3.078, 5.713
3.083, 5.747
3.088, 5.796
3.093, 5.857
3.098, 5.941
3.103, 6.048
3.108, 6.178
3.113, 6.343
3.118, 6.541
3.123, 6.769
3.128, 7.026
3.133, 7.313
3.138, 7.612
3.143, 7.925
3.148, 8.233
3.153, 8.528
3.158, 8.805
3.163, 9.055
3.168, 9.260
3.173, 9.428
3.178, 9.539
3.183, 9.600
3.188, 9.598
3.193, 9.545
3.198, 9.435
3.203, 9.281
3.208, 9.089
3.213, 8.857
3.218, 8.617
3.223, 8.360
3.228, 8.093
3.233, 7.838
3.238, 7.591
3.243, 7.368
3.248, 7.167
3.253, 6.989
3.258, 6.838
3.263, 6.701
3.268, 6.598
3.273, 6.511
3.278, 6.447
3.283, 6.392
3.288, 6.355
3.293, 6.324
3.298, 6.306
3.303, 6.292
3.308, 6.291
3.313, 6.312
3.318, 6.343
3.323, 6.405
3.328, 6.502
3.333, 6.641
3.338, 6.855
3.343, 7.162
3.348, 7.587
3.353, 8.150
3.358, 8.884
3.363, 9.808
3.368, 10.947
3.373, 12.294
3.378, 13.860
3.383, 15.625
3.388, 17.563
3.393, 19.635
3.398, 21.776
3.403, 23.936
3.408, 26.048
3.413, 28.037
3.418, 29.845
3.423, 31.401
3.428, 32.655
3.433, 33.579
3.438, 34.126
3.443, 34.286
3.448, 34.062
3.453, 33.474
3.458, 32.543
3.463, 31.324
3.468, 29.855
3.473, 28.193
3.478, 26.414
3.483, 24.553
3.488, 22.686
3.493, 20.864
3.498, 19.118
3.503, 17.498
3.508, 16.022
3.513, 14.702
3.518, 13.558
3.523, 12.586
3.528, 11.783
3.533, 11.121
3.538, 10.601
3.543, 10.190
3.548, 9.875
3.553, 9.636
3.558, 9.451
3.563, 9.307
3.568, 9.190
3.573, 9.080
3.578, 8.980
3.583, 8.878
3.588, 8.773
3.593, 8.659
3.598, 8.541
3.603, 8.422
3.608, 8.286
3.613, 8.157
3.618, 8.032
3.623, 7.897
3.628, 7.763
3.633, 7.635
3.638, 7.513
3.643, 7.395
3.648, 7.278
3.653, 7.173
3.658, 7.074
3.663, 6.979
3.668, 6.892
